"STATE","COUNTY","SUMLEV","NAME","CENSUS2020","POPESTIMATE042020","Error","PctError","AbsPctError"
"08","063","050","Kit Carson County",7087,7130,43,0.606744743897277,0.606744743897277
"08","065","050","Lake County",7436,8006,570,7.66541151156536,7.66541151156536
"08","067","050","La Plata County",55638,56551,913,1.64096480822459,1.64096480822459
"08","069","050","Larimer County",359066,359793,727,0.202469740938992,0.202469740938992
"08","071","050","Las Animas County",14555,14415,-140,-0.961868773617314,0.961868773617314
"08","073","050","Lincoln County",5675,5694,19,0.334801762114537,0.334801762114537
"08","075","050","Logan County",21528,22094,566,2.62913415087328,2.62913415087328
"08","077","050","Mesa County",155703,155396,-307,-0.197170253623887,0.197170253623887
"08","079","050","Mineral County",865,775,-90,-10.4046242774566,10.4046242774566
"08","081","050","Moffat County",13292,13153,-139,-1.04574179957869,1.04574179957869
"08","083","050","Montezuma County",25849,26404,555,2.14708499361677,2.14708499361677
"08","085","050","Montrose County",42679,43191,512,1.19965322523958,1.19965322523958
"08","087","050","Morgan County",29111,28946,-165,-0.566796056473498,0.566796056473498
"08","089","050","Otero County",18690,18212,-478,-2.55751738897806,2.55751738897806
"08","091","050","Ouray County",4874,4995,121,2.48256052523595,2.48256052523595
"08","093","050","Park County",17390,18915,1525,8.76940770557792,8.76940770557792
"08","095","050","Phillips County",4530,4369,-161,-3.55408388520971,3.55408388520971
"08","097","050","Pitkin County",17358,17889,531,3.05910819218804,3.05910819218804
"08","099","050","Prowers County",11999,12091,92,0.766730560880073,0.766730560880073
"08","101","050","Pueblo County",168162,169551,1389,0.825989224676205,0.825989224676205
"08","103","050","Rio Blanco County",6529,6339,-190,-2.91009342931536,2.91009342931536
"08","105","050","Rio Grande County",11539,11280,-259,-2.24456192044371,2.24456192044371
"08","107","050","Routt County",24829,25549,720,2.89983487051432,2.89983487051432
"08","109","050","Saguache County",6368,6897,529,8.3071608040201,8.3071608040201
"08","111","050","San Juan County",705,746,41,5.81560283687943,5.81560283687943
"08","113","050","San Miguel County",8072,8109,37,0.458374628344896,0.458374628344896
"08","115","050","Sedgwick County",2404,2255,-149,-6.19800332778702,6.19800332778702
"08","117","050","Summit County",31055,30673,-382,-1.23007567219449,1.23007567219449
"08","119","050","Teller County",24710,25460,750,3.03520841764468,3.03520841764468
"08","121","050","Washington County",4817,4867,50,1.03799045048786,1.03799045048786
"08","123","050","Weld County",328981,331780,2799,0.850809013286482,0.850809013286482
"08","125","050","Yuma County",9988,10034,46,0.460552663195835,0.460552663195835
"09","001","050","Fairfield County",957419,943542,-13877,-1.44941765308606,1.44941765308606
"09","003","050","Hartford County",899498,890395,-9103,-1.01200892053123,1.01200892053123
"09","005","050","Litchfield County",185186,179937,-5249,-2.83444752843087,2.83444752843087
"09","007","050","Middlesex County",164245,161950,-2295,-1.39730280982678,1.39730280982678
"09","009","050","New Haven County",864835,852944,-11891,-1.37494435354721,1.37494435354721
"09","011","050","New London County",268555,265329,-3226,-1.20124369309825,1.20124369309825
"09","013","050","Tolland County",149788,150731,943,0.629556439768206,0.629556439768206
"09","015","050","Windham County",116418,116666,248,0.213025477159889,0.213025477159889
"10","001","050","Kent County",181851,183244,1393,0.766011734881854,0.766011734881854
"10","003","050","New Castle County",570719,561505,-9214,-1.6144547491848,1.6144547491848
"10","005","050","Sussex County",237378,240150,2772,1.16775775345651,1.16775775345651
"12","001","050","Alachua County",278468,270997,-7471,-2.68289354611661,2.68289354611661
"12","003","050","Baker County",28259,29531,1272,4.50122084999469,4.50122084999469
"12","005","050","Bay County",175216,172083,-3133,-1.78807871427267,1.78807871427267
"12","007","050","Bradford County",28303,28555,252,0.890364978977494,0.890364978977494
"12","009","050","Brevard County",606612,607008,396,0.0652806077031117,0.0652806077031117
"12","011","050","Broward County",1944375,1958891,14516,0.746563805850209,0.746563805850209
"12","013","050","Calhoun County",13648,14107,459,3.36313012895662,3.36313012895662
"12","015","050","Charlotte County",186847,193654,6807,3.64308765995708,3.64308765995708
"12","017","050","Citrus County",153843,152445,-1398,-0.908718628731889,0.908718628731889
"12","019","050","Clay County",218245,221205,2960,1.35627391234622,1.35627391234622
"12","021","050","Collier County",375752,391598,15846,4.21714322212523,4.21714322212523
"12","023","050","Columbia County",69698,72490,2792,4.00585382650865,4.00585382650865
"12","027","050","DeSoto County",33976,38395,4419,13.0062396986108,13.0062396986108
"12","029","050","Dixie County",16759,17043,284,1.69461185034907,1.69461185034907
"12","031","050","Duval County",995567,965591,-29976,-3.01094753040227,3.01094753040227
"12","033","050","Escambia County",321905,321818,-87,-0.0270266072288408,0.0270266072288408
"12","035","050","Flagler County",115378,117821,2443,2.11738806358231,2.11738806358231
"12","037","050","Franklin County",12451,12198,-253,-2.03196530399165,2.03196530399165
"12","039","050","Gadsden County",43826,45423,1597,3.64395564276913,3.64395564276913
"12","041","050","Gilchrist County",17864,18821,957,5.35714285714286,5.35714285714286
"12","043","050","Glades County",12126,14158,2032,16.7573808345703,16.7573808345703
"12","045","050","Gulf County",14192,13530,-662,-4.66459977452086,4.66459977452086
"12","047","050","Hamilton County",14004,14529,525,3.74892887746358,3.74892887746358
"12","049","050","Hardee County",25327,26845,1518,5.99360366407391,5.99360366407391
"12","051","050","Hendry County",39619,42663,3044,7.6831823115172,7.6831823115172
"12","053","050","Hernando County",194515,197792,3277,1.68470297920469,1.68470297920469
"12","055","050","Highlands County",101235,106575,5340,5.27485553415321,5.27485553415321
"12","057","050","Hillsborough County",1459762,1493476,33714,2.30955457122462,2.30955457122462
"12","059","050","Holmes County",19653,19621,-32,-0.162825013992775,0.162825013992775
"12","061","050","Indian River County",159788,161998,2210,1.38308258442436,1.38308258442436
